Date,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE
2022-01-01,-4.1,-9.4,1.3
2022-01-02,3.1,0.7,5.6
2022-01-03,3.6,1.8,5.4
2022-01-04,2.7,0.3,5.2
2022-01-05,-1.1,-3.5,1.4
2022-01-06,0.2,-3.6,4.0
2022-01-07,3.2,2.1,4.4
2022-01-08,0.3,-2.4,3.1
2022-01-09,2.6,-1.1,6.3
2022-01-10,3.8,-0.6,8.2
2022-01-11,8.3,6.7,9.9
2022-01-12,9.4,7.7,11.0
2022-01-13,7.8,4.7,10.8
2022-01-14,7.5,4.6,10.4
2022-01-15,5.3,3.7,7.0
2022-01-16,5.6,4.5,6.8
2022-01-17,5.9,4.3,7.4
2022-01-18,6.1,5.2,7.0
2022-01-19,8.0,6.4,9.5
2022-01-20,9.2,5.9,12.4
2022-01-21,5.3,3.0,7.6
2022-01-22,4.7,2.5,7.0
2022-01-23,3.2,2.1,4.3
2022-01-24,3.3,2.2,4.3
2022-01-25,2.4,1.4,3.3
2022-01-26,2.4,1.3,3.5
2022-01-27,3.0,1.1,5.0
2022-01-28,3.1,-2.2,8.4
2022-01-29,3.4,-0.3,7.1
2022-01-30,6.1,4.7,7.6
2022-01-31,5.7,4.3,7.1
2022-02-01,3.2,0.2,6.3
2022-02-02,0.3,-1.3,1.9
2022-02-03,3.8,1.7,5.9
2022-02-04,6.6,4.2,8.9
2022-02-05,5.6,3.8,7.5
2022-02-06,3.6,-0.2,7.5
2022-02-07,7.4,3.2,11.7
2022-02-08,5.8,3.6,8.0
2022-02-09,7.3,5.7,8.9
2022-02-10,5.7,4.6,6.7
2022-02-11,5.2,2.3,8.0
2022-02-12,4.0,0.2,7.8
2022-02-13,4.2,-1.1,9.5
2022-02-14,5.8,2.9,8.7
2022-02-15,6.2,3.7,8.7
2022-02-16,5.9,2.4,9.4
2022-02-17,,,
2022-02-18,,,
2022-02-19,5.6,2.7,8.4
2022-02-20,5.9,4.1,7.7
2022-02-21,3.9,-0.2,8.1
2022-02-22,-0.3,-3.8,3.1
2022-02-23,-2.2,-6.3,1.9
2022-02-24,-0.3,-4.7,4.1
2022-02-25,1.2,-3.7,6.1
2022-02-26,4.1,-2.2,10.3
2022-02-27,7.6,4.6,10.7
2022-02-28,7.4,6.3,8.6
2022-03-01,10.2,7.2,13.1
2022-03-02,8.9,6.2,11.5
2022-03-03,7.1,4.6,9.7
2022-03-04,6.9,5.1,8.7
2022-03-05,6.5,3.8,9.2
2022-03-06,4.7,-0.2,9.7
2022-03-07,6.4,2.9,10.0
2022-03-08,6.6,3.1,10.0
2022-03-09,3.7,-0.7,8.1
2022-03-10,2.5,-2.0,7.1
2022-03-11,3.9,2.3,5.6
2022-03-12,7.2,3.1,11.3
2022-03-13,8.2,5.5,10.8
2022-03-14,7.1,5.9,8.3
2022-03-15,7.7,5.5,9.8
2022-03-16,6.6,2.1,11.1
2022-03-17,6.6,5.5,7.6
2022-03-18,7.9,5.7,10.1
2022-03-19,8.0,6.1,9.9
2022-03-20,4.3,1.3,7.2
2022-03-21,6.5,4.6,8.5
2022-03-22,9.8,7.0,12.7
2022-03-23,9.7,6.7,12.7
2022-03-24,5.9,2.1,9.7
2022-03-25,8.5,4.6,12.5
2022-03-26,10.0,7.3,12.7
2022-03-27,9.9,7.7,12.1
2022-03-28,9.0,6.7,11.3
2022-03-29,9.8,4.8,14.8
2022-03-30,8.4,5.3,11.5
2022-03-31,8.0,5.7,10.4
2022-04-01,7.7,5.6,9.8
2022-04-02,8.3,4.7,12.0
2022-04-03,7.6,6.1,9.2
2022-04-04,7.9,6.3,9.5
2022-04-05,8.1,5.3,10.8
2022-04-06,5.7,0.8,10.5
2022-04-07,9.8,6.7,12.9
2022-04-08,9.2,7.2,11.3
2022-04-09,7.3,5.7,8.9
2022-04-10,5.8,2.7,8.9
2022-04-11,7.4,1.4,13.5
2022-04-12,5.4,2.5,8.3
2022-04-13,5.2,0.6,9.7
2022-04-14,5.7,0.5,11.0
2022-04-15,5.6,2.3,9.0
2022-04-16,5.0,-0.9,10.8
2022-04-17,7.5,2.1,12.9
2022-04-18,8.7,5.5,12.0
2022-04-19,7.9,4.3,11.4
2022-04-20,8.3,2.4,14.1
2022-04-21,8.9,4.6,13.2
2022-04-22,8.8,4.9,12.6
2022-04-23,10.0,4.5,15.5
2022-04-24,11.3,5.3,17.3
2022-04-25,10.3,6.8,13.8
2022-04-26,8.2,4.3,12.2
2022-04-27,7.6,3.3,11.9
2022-04-28,8.0,3.6,12.4
2022-04-29,10.0,4.6,15.4
2022-04-30,11.5,8.2,14.8
2022-05-01,10.6,5.1,16.2
2022-05-02,11.7,8.6,14.9
2022-05-03,11.0,8.3,13.7
2022-05-04,10.1,7.9,12.4
2022-05-05,9.4,8.2,10.7
2022-05-06,9.7,6.1,13.2
2022-05-07,10.0,5.8,14.3
2022-05-08,8.7,5.7,11.7
2022-05-09,10.4,7.0,13.8
2022-05-10,11.0,7.2,14.8
2022-05-11,11.1,7.8,14.4
2022-05-12,9.0,7.0,11.0
2022-05-13,9.5,5.4,13.6
2022-05-14,10.7,7.1,14.2
2022-05-15,12.1,10.3,13.8
2022-05-16,12.7,9.7,15.8
2022-05-17,10.8,6.6,14.9
2022-05-18,11.6,8.2,15.1
2022-05-19,11.8,8.9,14.7
2022-05-20,10.2,5.5,14.9
2022-05-21,11.9,6.8,17.1
2022-05-22,13.6,7.3,19.9
2022-05-23,14.3,11.2,17.5
2022-05-24,12.8,9.9,15.6
2022-05-25,14.6,10.4,18.8
2022-05-26,13.1,9.9,16.3
2022-05-27,13.6,11.0,16.3
2022-05-28,11.3,7.7,15.0
2022-05-29,13.7,10.7,16.6
2022-05-30,12.3,9.7,15.0
2022-05-31,14.4,11.1,17.7
2022-06-01,14.5,10.7,18.3
2022-06-02,16.2,12.6,19.7
2022-06-03,15.5,13.6,17.4
2022-06-04,16.7,12.6,20.8
2022-06-05,16.2,12.4,20.0
2022-06-06,13.3,9.0,17.5
2022-06-07,12.8,8.5,17.2
2022-06-08,16.4,12.5,20.3
2022-06-09,13.3,12.4,14.2
2022-06-10,16.7,12.3,21.2
2022-06-11,15.7,11.5,19.9
2022-06-12,14.8,12.3,17.4
2022-06-13,15.0,12.6,17.5
2022-06-14,15.0,12.0,18.0
2022-06-15,14.1,12.1,16.1
2022-06-16,15.1,11.6,18.6
2022-06-17,14.6,10.5,18.7
2022-06-18,15.3,11.7,18.9
2022-06-19,15.2,12.1,18.2
2022-06-20,15.4,11.1,19.7
2022-06-21,15.7,13.2,18.3
2022-06-22,15.8,13.1,18.6
2022-06-23,15.1,11.3,18.8
2022-06-24,13.7,8.1,19.4
2022-06-25,17.8,11.4,24.1
2022-06-26,18.8,13.2,24.4
2022-06-27,19.6,13.8,25.5
2022-06-28,17.7,13.9,21.5
2022-06-29,17.4,13.0,21.8
2022-06-30,16.3,12.1,20.5
2022-07-01,18.4,12.4,24.4
2022-07-02,16.9,12.8,20.9
2022-07-03,14.3,12.9,15.7
2022-07-04,15.4,12.6,18.2
2022-07-05,17.3,13.5,21.1
2022-07-06,18.5,15.4,21.7
2022-07-07,19.2,15.0,23.3
2022-07-08,18.3,15.1,21.5
2022-07-09,17.8,13.8,21.7
2022-07-10,19.2,14.4,24.0
2022-07-11,18.3,13.5,23.1
2022-07-12,18.8,14.3,23.3
2022-07-13,18.3,14.9,21.7
2022-07-14,19.4,13.0,25.8
2022-07-15,17.9,14.8,21.1
2022-07-16,19.2,14.9,23.6
2022-07-17,16.3,13.3,19.3
2022-07-18,17.4,13.8,21.0
2022-07-19,17.4,12.3,22.6
2022-07-20,18.1,14.0,22.2
2022-07-21,19.1,14.2,23.9
2022-07-22,18.4,13.9,22.8
2022-07-23,17.0,12.1,21.9
2022-07-24,18.6,13.8,23.5
2022-07-25,20.9,17.0,24.7
2022-07-26,23.1,18.3,27.8
2022-07-27,24.9,18.3,31.5
2022-07-28,22.6,17.2,28.1
2022-07-29,22.8,17.8,27.7
2022-07-30,22.7,17.4,28.0
2022-07-31,23.0,19.3,26.7
2022-08-01,20.8,16.1,25.5
2022-08-02,20.0,16.6,23.4
2022-08-03,18.6,15.2,22.0
2022-08-04,18.5,15.2,21.8
2022-08-05,17.5,12.5,22.4
2022-08-06,19.4,14.4,24.4
2022-08-07,20.1,15.3,24.8
2022-08-08,20.5,15.5,25.4
2022-08-09,20.6,16.6,24.5
2022-08-10,19.3,16.8,21.8
2022-08-11,19.4,14.8,24.0
2022-08-12,20.0,14.2,25.7
2022-08-13,20.5,15.8,25.3
2022-08-14,19.7,13.9,25.4
2022-08-15,20.6,14.1,27.2
2022-08-16,21.5,16.1,27.0
2022-08-17,21.1,15.0,27.2
2022-08-18,23.1,18.6,27.6
2022-08-19,22.9,18.5,27.4
2022-08-20,21.6,17.1,26.1
2022-08-21,21.8,17.8,25.8
2022-08-22,20.3,15.2,25.5
2022-08-23,19.2,14.1,24.3
2022-08-24,20.7,15.1,26.3
2022-08-25,21.9,17.2,26.6
2022-08-26,18.4,15.4,21.3
2022-08-27,18.3,14.4,22.3
2022-08-28,18.2,12.5,23.8
2022-08-29,20.1,14.8,25.3
2022-08-30,22.1,17.0,27.3
2022-08-31,22.1,15.9,28.3
2022-09-01,21.2,16.2,26.1
2022-09-02,19.4,14.4,24.5
2022-09-03,19.3,14.7,24.0
2022-09-04,17.6,14.7,20.5
2022-09-05,16.2,11.5,20.9
2022-09-06,16.6,11.4,21.8
2022-09-07,16.3,12.3,20.3
2022-09-08,15.2,10.4,20.0
2022-09-09,17.1,13.6,20.7
2022-09-10,18.2,11.7,24.7
2022-09-11,19.3,12.0,26.7
2022-09-12,19.2,14.6,23.8
2022-09-13,15.9,12.2,19.6
2022-09-14,17.7,12.8,22.7
2022-09-15,15.9,13.7,18.2
2022-09-16,14.9,11.5,18.4
2022-09-17,13.8,10.0,17.6
2022-09-18,15.3,10.7,19.9
2022-09-19,13.5,7.0,19.9
2022-09-20,15.6,8.8,22.4
2022-09-21,14.7,8.1,21.3
2022-09-22,15.6,9.8,21.4
2022-09-23,15.4,12.6,18.2
2022-09-24,15.9,11.9,19.9
2022-09-25,16.0,10.9,21.2
2022-09-26,17.0,11.4,22.6
2022-09-27,16.6,11.5,21.8
2022-09-28,16.4,12.0,20.7
2022-09-29,16.2,11.9,20.4
2022-09-30,14.7,10.1,19.3
2022-10-01,15.2,10.6,19.7
2022-10-02,15.7,11.0,20.4
2022-10-03,16.0,10.4,21.5
2022-10-04,15.4,10.7,20.0
2022-10-05,14.9,11.5,18.2
2022-10-06,15.2,9.9,20.5
2022-10-07,14.9,10.2,19.6
2022-10-08,15.3,9.9,20.6
2022-10-09,14.9,11.1,18.7
2022-10-10,14.7,9.4,19.9
2022-10-11,12.6,8.6,16.5
2022-10-12,12.1,7.3,16.9
2022-10-13,12.7,7.8,17.5
2022-10-14,12.9,7.2,18.6
2022-10-15,13.2,7.9,18.5
2022-10-16,12.9,7.3,18.5
2022-10-17,14.4,10.1,18.6
2022-10-18,12.2,7.9,16.6
2022-10-19,10.5,6.9,14.1
2022-10-20,13.4,8.7,18.0
2022-10-21,10.4,7.7,13.1
2022-10-22,9.2,6.0,12.4
2022-10-23,8.2,3.7,12.6
2022-10-24,10.8,7.3,14.3
2022-10-25,8.9,7.2,10.6
2022-10-26,7.9,5.2,10.6
2022-10-27,10.3,8.3,12.3
2022-10-28,11.3,7.5,15.0
2022-10-29,9.9,7.2,12.7
2022-10-30,10.9,9.9,12.0
2022-10-31,8.6,4.9,12.3
2022-11-01,6.6,2.4,10.9
2022-11-02,5.8,1.8,9.7
2022-11-03,4.0,2.1,6.0
2022-11-04,7.7,3.4,12.0
2022-11-05,6.0,2.5,9.4
2022-11-06,3.7,2.1,5.3
2022-11-07,2.7,0.5,4.9
2022-11-08,2.7,-1.1,6.5
2022-11-09,1.1,-3.9,6.2
2022-11-10,4.1,2.4,5.8
2022-11-11,4.7,1.8,7.6
2022-11-12,3.3,-1.3,7.8
2022-11-13,4.9,1.4,8.5
2022-11-14,3.5,-1.8,8.8
2022-11-15,3.0,-1.7,7.6
2022-11-16,4.2,2.2,6.3
2022-11-17,6.5,0.4,12.6
2022-11-18,2.5,-3.2,8.3
2022-11-19,1.0,-4.4,6.5
2022-11-20,3.0,-1.8,7.8
2022-11-21,5.5,2.2,8.7
2022-11-22,7.7,6.7,8.6
2022-11-23,7.1,4.7,9.4
2022-11-24,8.6,5.0,12.2
2022-11-25,7.3,4.0,10.6
2022-11-26,4.8,0.9,8.8
2022-11-27,5.3,1.8,8.8
2022-11-28,1.5,-2.9,5.9
2022-11-29,-1.1,-3.3,1.1
2022-11-30,1.4,-2.4,5.2
2022-12-01,-2.4,-4.3,-0.6
2022-12-02,-1.7,-5.6,2.2
2022-12-03,1.1,-2.7,4.9
2022-12-04,-0.6,-5.7,4.5
2022-12-05,-1.7,-5.2,1.9
2022-12-06,1.7,0.4,2.9
2022-12-07,3.8,1.9,5.7
2022-12-08,4.0,1.3,6.7
2022-12-09,3.1,1.1,5.1
2022-12-10,5.8,3.6,8.0
2022-12-11,6.0,4.9,7.2
2022-12-12,3.6,0.4,6.9
2022-12-13,2.1,0.3,3.9
2022-12-14,2.3,-1.4,6.0
2022-12-15,1.6,-2.0,5.2
2022-12-16,1.4,-1.4,4.2
2022-12-17,2.6,1.3,3.8
2022-12-18,-1.6,-6.3,3.1
2022-12-19,-7.1,-8.0,-6.1
2022-12-20,-7.5,-8.2,-6.9
2022-12-21,-9.5,-12.9,-6.2
2022-12-22,-10.4,-14.0,-6.8
2022-12-23,-3.4,-8.1,1.3
2022-12-24,4.5,1.1,7.8
2022-12-25,5.9,3.6,8.2
2022-12-26,9.3,6.5,12.1
2022-12-27,7.6,5.6,9.5
2022-12-28,6.4,3.8,9.0
2022-12-29,4.7,3.4,6.0
2022-12-30,7.7,5.2,10.3
2022-12-31,6.7,3.2,10.2
